counts,number of items in equivalence class,isoforms in equivalence class
1082,3,"ENST00000265462,ENST00000347941,ENST00000352435"
1079,15,"ENST00000361723,ENST00000420244,ENST00000527629,ENST00000528737,ENST00000529985,ENST00000531147,ENST00000531408,ENST00000533703,ENST00000674617,ENST00000675163,ENST00000675806,ENST00000676340,ENST00000676459,ENST00000682018,ENST00000684135"
1078,1,ENST00000398868
1077,12,"ENST00000301764,ENST00000535283,ENST00000679588,ENST00000679712,ENST00000680075,ENST00000680357,ENST00000680367,ENST00000680602,ENST00000680717,ENST00000681188,ENST00000681803,ENST00000681935"
1074,7,"ENST00000351960,ENST00000358965,ENST00000393695,ENST00000541584,ENST00000545721,ENST00000613205,ENST00000620566"
1071,6,"ENST00000281428,ENST00000344954,ENST00000429175,ENST00000527786,ENST00000534087,ENST00000608303"
1069,5,"ENST00000346178,ENST00000356638,ENST00000532402,ENST00000540933,ENST00000648273"
1058,2,"ENST00000380542,ENST00000620138"
1053,3,"ENST00000396394,ENST00000418988,ENST00000530457"
1050,2,"ENST00000310653,ENST00000336083"
1047,3,"ENST00000312175,ENST00000445560,ENST00000533166"
1035,3,"ENST00000278412,ENST00000526696,ENST00000529002"
1033,4,"ENST00000319006,ENST00000528070,ENST00000528097,ENST00000530440"
1030,3,"ENST00000300688,ENST00000529790,ENST00000689460"
1028,1,ENST00000354193
1026,1,ENST00000336349
1025,7,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188"
1021,1,ENST00000309295
1018,3,"ENST00000311172,ENST00000409314,ENST00000409418"
1015,6,"ENST00000339995,ENST00000396525,ENST00000525681,ENST00000526148,ENST00000531416,ENST00000531647"
1014,12,"ENST00000278572,ENST00000524851,ENST00000526248,ENST00000526608,ENST00000527446,ENST00000528439,ENST00000528847,ENST00000530164,ENST00000530170,ENST00000531188,ENST00000532872,ENST00000534440"
1010,2,"ENST00000227524,ENST00000535326"
1001,2,"ENST00000354817,ENST00000532502"
993,6,"ENST00000273550,ENST00000529191,ENST00000529631,ENST00000530019,ENST00000532829,ENST00000534180"
983,9,"ENST00000318201,ENST00000343674,ENST00000421244,ENST00000454345,ENST00000456247,ENST00000524984,ENST00000527911,ENST00000528615,ENST00000532868"
